period,window,training_observations,intercept,trend_gwh_per_year,month_february,month_march,month_april,month_may,month_june,month_july,month_august,month_september,month_october,month_november,month_december,heating_gwh_per_degree,cooling_gwh_per_degree
2020-06-01,expanding,233,6108.652629,273.958959,-649.755863,284.718669,-382.25528,-230.518764,-210.95562,96.21002,-105.055825,-530.746924,-70.920443,-36.745528,298.899854,166.681666,346.162431
2020-06-01,recent_60m,60,12249.691307,-80.446852,-900.730042,-280.827471,-1162.791434,-881.226944,-703.189154,-231.060791,-606.539668,-1199.470902,-798.10852,-685.56047,-108.556125,223.319366,361.231896
2020-07-01,expanding,234,6114.999665,272.324481,-647.393909,292.722426,-373.19212,-229.215257,-280.888277,86.727264,-109.717519,-529.397655,-62.291165,-27.668396,304.228154,169.671363,348.899287
2020-07-01,recent_60m,60,12416.887868,-89.609268,-901.046527,-288.702923,-1171.487084,-882.334859,-732.465726,-230.326534,-610.111247,-1207.183011,-810.181566,-698.078323,-113.830328,220.564273,358.055369
2020-08-01,expanding,235,6117.826808,271.597408,-646.344139,296.279613,-368.386118,-215.846699,-258.936592,84.711907,-90.562235,-516.492038,-56.998337,-23.634061,306.596467,166.460037,350.115616
2020-08-01,recent_60m,60,12433.594026,-90.524512,-901.078584,-289.493471,-1172.190963,-879.255674,-725.270344,-155.946521,-605.342068,-1204.981336,-810.666217,-699.333258,-114.359026,219.079007,357.736758
2020-09-01,expanding,236,6125.090142,269.728319,-643.644429,305.427787,-356.938925,-196.468749,-231.619181,114.574093,-136.899128,-497.737735,-45.096436,-13.258901,312.68692,163.527107,353.243747
2020-09-01,recent_60m,60,12590.555665,-99.125042,-901.3774,-296.901104,-1179.706923,-867.778841,-693.12743,-115.165822,-650.295374,-1200.558368,-819.168388,-711.101156,-119.317054,211.744679,354.749915
2020-10-01,expanding,237,6132.450868,267.835032,-640.910578,314.691579,-344.65278,-165.432575,-181.790538,170.279976,-92.260595,-538.724605,-31.743296,-2.752528,318.854529,156.50548,356.41138
2020-10-01,recent_60m,60,12676.270348,-103.822211,-901.539678,-300.938771,-1184.153374,-868.125541,-689.012609,-109.043505,-646.504996,-1202.059726,-825.307671,-717.518825,-122.021035,210.248323,353.121358
2020-11-01,expanding,238,6139.928797,265.9112,-638.132247,324.106127,-332.487221,-139.160514,-141.384368,215.135381,-55.662369,-512.19011,-92.775883,7.924782,325.122424,151.240101,359.630577
2020-11-01,recent_60m,60,12678.309752,-103.934469,-901.542699,-301.027796,-1184.578511,-874.308116,-701.459309,-123.971791,-657.226231,-1207.789725,-809.317991,-717.663467,-122.082073,212.554749,353.084961
2020-12-01,expanding,239,6132.305566,264.194852,-632.187917,344.543546,-308.039972,-112.600082,-112.740351,244.518033,-27.305636,-485.110173,-67.307818,-35.017154,337.950439,150.508892,366.764054
2020-12-01,recent_60m,60,12731.797838,-106.018016,-903.075471,-315.53627,-1201.98152,-890.860917,-716.993152,-138.99636,-672.642795,-1223.703951,-825.717446,-655.626864,-129.382439,212.243966,348.066132
2021-01-01,expanding,240,6130.341343,263.001294,-628.863232,355.945582,-294.371239,-97.466511,-96.157549,261.614576,-10.922699,-469.615343,-52.934159,-21.611813,298.204403,150.000294,370.729897
2021-01-01,recent_60m,60,12692.652085,-102.996506,-904.481367,-326.087342,-1214.951477,-905.267561,-732.866891,-155.604438,-688.689486,-1239.03734,-840.355407,-669.889486,-57.191162,212.690769,344.671711
2021-02-01,expanding,241,6103.965843,262.074539,-593.684204,391.263487,-258.892306,-60.864528,-58.429389,299.741915,26.650007,-432.732879,-16.923061,14.33326,334.183081,149.605046,370.760542
2021-02-01,recent_60m,60,12783.27741,-106.427215,-969.115977,-364.222208,-1246.526463,-935.093868,-761.033511,-182.939687,-716.658073,-1267.810991,-869.913918,-700.734569,-105.559764,212.185697,354.676998
2021-03-01,expanding,242,6058.375605,260.268067,-637.935638,444.288926,-195.652001,4.653698,9.278448,368.226135,94.056475,-366.667777,47.448588,74.329456,367.371463,148.836716,389.697955
2021-03-01,recent_60m,60,12772.548424,-107.054469,-1009.033382,-346.774938,-1225.091199,-913.253017,-738.893666,-160.649608,-694.48081,-1245.777383,-848.020337,-679.705401,-95.7412,212.09499,361.004457
2021-04-01,expanding,243,6051.943424,259.271922,-633.633915,421.479389,-179.459084,22.076546,27.910362,387.286676,112.521718,-348.94341,64.237643,89.957787,376.139977,148.412414,394.575077
2021-04-01,recent_60m,60,12909.328562,-106.184203,-1040.646236,-258.214821,-1376.023149,-1065.416338,-891.437119,-313.387722,-847.085619,-1398.210436,-1000.286159,-825.872452,-164.006064,212.208082,317.19844
2021-05-01,expanding,244,6059.80162,257.695578,-631.468231,428.438966,-233.427477,27.759424,31.878392,390.819419,117.297938,-342.685031,72.296966,97.859315,380.824939,149.108074,396.926894
2021-05-01,recent_60m,60,12645.851797,-92.889742,-1036.75208,-240.978235,-1314.268504,-1025.198563,-844.931355,-265.053238,-804.807707,-1362.913579,-971.861594,-800.452858,-152.060465,209.489015,324.145701
2021-06-01,expanding,245,6065.522669,256.590513,-630.004632,433.138066,-226.967704,6.027866,65.995729,429.328735,147.460301,-322.680797,79.724036,103.200518,384.001105,143.829218,398.512455
2021-06-01,recent_60m,60,12483.762795,-84.745057,-1034.227078,-229.876746,-1300.90899,-961.803783,-915.842406,-355.008412,-864.492506,-1386.546305,-960.122445,-784.233679,-144.440334,226.494015,328.595321
2021-07-01,expanding,246,6066.734145,256.356464,-629.694589,434.133512,-225.646556,9.603822,62.551798,435.665734,152.492189,-319.238308,81.197428,104.331978,384.673922,143.000634,398.848339
2021-07-01,recent_60m,60,12351.227811,-78.085409,-1032.162464,-220.799415,-1289.985344,-1038.999038,-908.475848,-584.400016,-1025.091781,-1465.398261,-958.751198,-770.971777,-138.209598,264.596926,332.233632
2021-08-01,expanding,247,6067.734119,256.163108,-629.438228,434.956618,-224.736151,9.372008,61.199672,425.994982,151.425794,-319.453309,82.030946,105.267526,385.230201,143.430804,399.126082
2021-08-01,recent_60m,60,12360.579623,-78.555321,-1032.308145,-221.439921,-1290.756128,-1048.527683,-928.668497,-369.306651,-1043.841196,-1475.851789,-961.061743,-771.907551,-138.649245,268.419485,331.976909
2021-09-01,expanding,248,6070.855213,255.559898,-628.638848,437.523182,-221.584013,14.138935,67.546008,432.832345,132.641227,-314.852902,85.292444,108.184741,386.964853,142.85198,399.992108
2021-09-01,recent_60m,60,12300.96432,-75.559758,-1031.379465,-217.356864,-1285.842584,-1026.889543,-886.655559,-319.440889,-797.665083,-1451.038069,-952.113292,-765.942241,-135.846609,261.053618,333.613451
